Raman Shift,Paracetamol,Paracetamol,Paracetamol,Paracetamol,Paracetamol,Paracetamol,Paracetamol,Paracetamol,Paracetamol,Paracetamol,Paracetamol,Paracetamol,Paracetamol,Paracetamol,Paracetamol,Paracetamol,Paracetamol,Paracetamol,Paracetamol,Paracetamol,Paracetamol,Paracetamol,Paracetamol,Paracetamol,Paracetamol,Paracetamol,Paracetamol,Paracetamol,Paracetamol,Paracetamol,Paracetamol,Paracetamol,Paracetamol,Paracetamol,Paracetamol,Paracetamol,Paracetamol,Paracetamol,Paracetamol,Paracetamol,Paracetamol,Paracetamol,Paracetamol,Paracetamol,Paracetamol,Paracetamol,Paracetamol,Paracetamol,Paracetamol,Paracetamol
240.3,14448.56,7765.96,7096.96,7237.24,8842.8,7628.8,7861.4,6265.7,7348.8,7307.52,10387.6,8965.4,10373.9,10838.8,10552.7,8822.5,8655.2,9280.8,8996.5,6860.96,9844.9,9979.5,9312.6,9869.9,9324.4,9853.3,7793.5,6908.6,6215.5,9293.78,6266.3,7486.6,8986.2,8129,7317.7,8058.9,6490.2,7494.4,7742.9,7397.74,7881.1,6459.8,8860,8380.2,8388.2,9539.7,10979.3,9965.7,9069.9,6773.86
242.64,14116,7379.58,6725.2,6861.62,8408.3,7294,7474,6040,7032.9,6935.26,9851.5,8558.6,9942.2,10303.3,9968.2,8364.1,8199.1,8911,8448.2,6489.08,9361.9,9582.4,8861.5,9476.5,8786.9,9328.8,7381.4,6638.5,5907.3,8872.74,5936.9,7138.4,8499.1,7711.9,6952.9,7641,6167,7178,7368.6,7048.2,7463.3,6150.9,8377.9,7958.9,7989.2,9060.5,10409.9,9486,8657.4,6390.9
244.98,13825.62,7039.12,6440.36,6556.46,8068.2,7050.5,7124.4,5769,6742.7,6642.24,9412.4,8185.2,9570.5,9863.5,9626,8056.6,7898.3,8649.1,8128.9,6191.46,9036.1,9196.7,8486.9,9108.8,8436.9,8974.4,7169.6,6407.8,5676.5,8567.08,5780.1,6837,8121.9,7472.2,6608.6,7386.6,5922.2,6941.6,7126.2,6787.7,7120.7,5972.1,8047.1,7605.8,7570.8,8728.4,9882.4,9038.3,8286.4,6149.98
247.32,13721.24,6841.14,6275.92,6384.24,7817.5,6938.9,6965.2,5593.4,6575.9,6472.26,9239.6,8003.5,9258.8,9537.7,9288.7,7829.2,7623.9,8368.6,8008.9,6017.56,8891,8991.1,8247.4,8924.6,8256.1,8722.9,6946.4,6289.9,5495.9,8406.32,5668.2,6654.9,7928.1,7263.1,6354.8,7233,5758.4,6796.8,6952.8,6631.98,6839.5,5815,7859.7,7401.1,7368.2,8456.4,9647.4,8870.2,8141.3,5999.72
249.65,13451.66,6454.44,5968.1,6089.88,7454.5,6623.8,6660.8,5333.7,6238.1,6151.18,8702.3,7590.6,8845.3,9008.3,8816.6,7374.7,7165.2,8080,7570.8,5696.8,8539.6,8640.5,7909.7,8546,7939.7,8343.8,6646.2,6004.7,5319.3,8057.94,5344.9,6439.9,7544.1,6952.5,6049.5,6867.7,5516.2,6489,6568.1,6318.48,6549.8,5527.1,7496.4,7049.4,6987.5,7960,9162.2,8428,7819.6,5663.56
251.99,13239.68,6203.7,5733.42,5855.6,7121.7,6402.1,6429.5,5140.2,6070.8,5880.74,8403.9,7302.5,8583.6,8761.5,8516.1,7156.6,6952.6,7852.2,7293.6,5457.4,8209.4,8397.1,7657.5,8394.7,7571.8,8063.8,6379.7,5861,5094.3,7778.08,5170.7,6175.9,7249.6,6685.8,5821.8,6647.3,5295.3,6216.9,6421.6,6088.44,6326.5,5380.1,7245.4,6810.4,6778.7,7633.2,8767.8,8119.5,7594.8,5462.18
254.32,13192.52,6047.82,5637.32,5711.88,6940.3,6387.1,6281.1,5031.6,5949.3,5719.08,8205.3,7103.4,8387.3,8512.4,8210.5,6963.1,6731.5,7765.8,7110,5335.08,8050.4,8238.4,7405.1,8186.4,7429.1,8702.5,6253,5702.8,5064.2,7654.96,5150.1,6049.6,7028.1,6535.2,5668.3,6466.5,5207.3,6135,6306.6,5961.62,6115.7,5299.9,7030.6,6660.3,6534.5,7495.6,8578.7,7975.7,7466.1,5341.82
256.65,13026.96,5854.48,5437.3,5499.34,6700.2,6140.1,6101.2,4876.9,5742.7,5530.54,8003,6866.7,8085.1,8222.7,7986.1,6778.1,6541.8,7457.9,6891.8,5125.58,7876.6,8013.3,7218,7987,7202.6,7548.8,6064.9,5615.6,4930.6,7425.48,4991.6,5866.5,6852.1,6388.7,5498.7,6306.7,5018.5,5990.7,6067.2,5781.34,5951.3,5203.4,6910.2,6384.6,6369.5,7202.6,8241.4,7674.3,7243.7,5173.62
258.98,13018.94,5766.16,5354.4,5453.38,6606.6,6107.3,6008.7,4843.4,5664.7,5446.22,7837.5,6807.3,7968.1,7976,7830.3,6665.5,6438.5,7473.2,6829.3,5062,7803.1,7936.3,7126.4,7908.3,7122.2,7484.7,5958.4,5518.4,4857.6,7394.94,4888.2,5846.9,6740.4,6305.7,5433.8,6254.8,4960.1,5953.8,5969.5,5718.36,5826.3,5075.9,6765.5,6271.3,6202.1,7022.7,8142.7,7618.7,7195.4,5091.1
261.31,12974.86,5597.96,5227.42,5296.62,6454.7,6025.5,5868.4,4720.5,5594.4,5311.8,7687.5,6645.9,7844.7,7832.4,7730.1,6513.9,6339.9,7285.8,6665.8,4925.92,7696.1,7820.5,6967.4,7744.9,6976.7,7317.9,5848.6,5427.2,4700.3,7244.82,4748.4,5676.7,6608.8,6156.7,5294.2,6070.8,4903.6,5801.6,5859.6,5595.56,5702.8,5037.3,6579.2,6188.8,6083.9,6973.9,7976.8,7306.5,7027,4951.32
263.64,12821.22,5481.32,5136.52,5207.18,6299,5917.2,5832.3,4649.8,5482.9,5220.16,7559.1,6533.6,7670.6,7814.7,7526,6420.5,6173,7231.3,6545.3,4803.28,7533.5,7663.6,6898.2,7586.2,6844.4,7212.8,5694,5289.7,4675.6,7156.78,4751.6,5670,6418.4,6095,5174.3,5941.3,4739.6,5734.8,5819.8,5481.6,5592.4,4935.7,6465.4,6024,5902.9,6772.2,7781.2,7243.4,6911.8,4879.02
265.97,12660.02,5311.94,4997.64,5081,6166.6,5774.1,5716.1,4533.8,5322.6,5065.98,7384.9,6376.7,7481.5,7547.9,7335.6,6232.6,6022.1,7008.3,6401.9,4674.7,7358,7580.2,6700.2,7477.8,6636.8,7046.9,5591.5,5229,4590.3,6966.26,4628.6,5549.5,6296.1,5952,5073.2,5838.1,4668.9,5596.9,5636.9,5364.72,5418.3,4836.7,6332.4,5810.3,5807.9,6545.7,7533.4,7102.4,6780.5,4744.78
268.3,12662.86,5274.6,4975.56,5038.4,6098.5,5812.4,5591.2,4492.8,5303.6,5045.08,7311.8,6367.5,7458.8,7453.6,7215.5,6142.6,5978.9,6999.2,6316.2,4643.38,7293.9,7523.3,6701.1,7432.7,6604.9,6987.8,5567.8,5260.6,4531.1,6937.28,4582.4,5444.8,6227.7,5944.5,4970.9,5759.8,4550.3,5603.3,5601.5,5318.74,5417.8,4806.4,6347.1,5841.4,5779.1,6569.5,7479.3,7030.8,6735.8,4728.62
